Species,Trap,4/2/2009,4/3/2009,4/4/2009,4/5/2009,4/6/2009,4/7/2009,4/8/2009,4/9/2009,4/10/2009,4/11/2009,4/12/2009,4/13/2009,4/14/2009,4/15/2009,4/16/2009,4/17/2009,4/18/2009,4/19/2009,4/20/2009,4/21/2009,4/22/2009,4/23/2009,4/24/2009,4/25/2009,4/26/2009,4/27/2009,4/28/2009,4/29/2009,4/30/2009,5/1/2009,5/2/2009,5/3/2009,5/4/2009,5/5/2009,5/6/2009,5/7/2009,5/8/2009,5/9/2009,5/10/2009,5/11/2009,5/12/2009,5/13/2009,5/14/2009,5/15/2009,5/16/2009,5/17/2009,5/18/2009,5/19/2009,5/20/2009,5/21/2009,5/22/2009,5/23/2009,5/24/2009,5/25/2009,5/26/2009,5/27/2009,5/28/2009,5/29/2009,5/30/2009,5/31/2009,6/1/2009,6/2/2009,6/3/2009,6/4/2009,6/5/2009,6/6/2009,6/7/2009,6/8/2009,6/9/2009,6/10/2009,6/11/2009,6/12/2009,6/13/2009,6/14/2009,6/15/2009,6/16/2009,6/17/2009,6/18/2009,6/19/2009,6/20/2009,6/21/2009,6/22/2009,6/23/2009,6/24/2009,6/25/2009,6/26/2009,6/27/2009,6/28/2009,6/29/2009,6/30/2009,7/1/2009,7/2/2009
S.meridionale,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,18,NA,0,2,0,0,0,NA,NA,4,0,2,1,3,0,NA,0,0,3,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.meridionale,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,3,NA,6,0,0,NA,NA,0,1,NA,1,0,0,NA,0,0,0,2,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.meridionale,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,48,0,NA,NA,10,0,0,0,NA,NA,0,3,NA,1,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.meridionale,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,89,NA,NA,2,NA,0,0,NA,NA,NA,1,3,9,2,NA,0,NA,0,NA,1,3,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.meridionale,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,7,NA,6,0,0,NA,0,NA,NA,NA,0,1,5,0,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.meridionale,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,9,30,0,NA,NA,NA,0,0,0,NA,NA,1,9,1,NA,0,0,NA,0,0,1,1,3,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.meridionale,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,8,0,NA,2,NA,0,0,0,NA,NA,8,4,2,1,3,3,NA,0,0,1,2,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.johannseni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,14,61,2838,229,975,4154,992,751,2587,NA,NA,0,NA,574,NA,NA,1623,NA,3,NA,NA,968,NA,NA,648,NA,1040,156,610,2,544,NA,NA,95,0,117,32,59,166,NA,0,35,72,119,21,48,2,28,NA,NA,8,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.johannseni,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,85,4,NA,47,NA,157,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4484,301,NA,247,NA,292,2,66,NA,NA,0,6,NA,4,0,4,NA,0,1,4,0,4,0,0,1,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.johannseni,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2532,207,849,904,1280,4623,4964,NA,NA,4,45,3316,NA,NA,43224,8524,173,NA,NA,68022,10326,8946,6036,NA,NA,924,2626,44,1504,NA,NA,1,6,NA,17,1,0,NA,0,1,6,0,0,0,0,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
