Nest.ID,Male,Female,Pair,Year,Date.Found,Last.Date.Alive,First.Date.Dead,Notes,First.date.simp,Include_YN,Day.Found,Last.Day.Alive,First.Day.Dead,Fate,Full.Term,Hatched,Hatched.Own,Fledged,Long,Lat,Supplement,Nest.Attempt,Age.Male,Age.Female,Age.Min,Age.Max,Age.Avg,Exper.Male,Exper.Female,Exper.Min,Exper.Max,Exper.Avg,CumAtt.Male,CumAtt.Female,CumAtt.Min,CumAtt.Max,CumAtt.Avg,MGenAny,MGenAll,FGenAny,FGenAll,CGenAny ,CGenAll,Male.Type,Female.Type,Pair.Type,Male.Dam,Male.Sire,Female.Dam,Female.Sire
2005A,1629,1661,1-01/2-02,2005,4/16/2005,4/16/2005,4/17/2005,,16-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16634,44.07789,0,1,4,3,3,4,3.5,0,0,0,0,0,1,1,1,1,1,2,3,3,3,2,3,U,U,1,1119,1114,1135,1133
2005B,1672,1678,11-02/17-02,2005,4/17/2005,4/17/2005,4/18/2005,,17-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15447,44.06246,0,1,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2006E,1674,1679,13-02/18-02,2006,4/6/2006,4/23/2006,4/24/2006,,6-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16942,44.07208,0,1,4,4,4,4,4,0,0,0,1,0,1,1,1,1,1,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2006A,1629,1661,1-01/2-02,2006,4/7/2006,4/15/2006,4/16/2006,,7-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16743,44.0769,0,1,5,4,4,5,4.5,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,U,U,1,1119,1114,1135,1133
2006B,1712,1662,17-03/3-02,2006,4/7/2006,4/15/2006,4/16/2006,,7-Apr,N,NA,NA,NA,1,N,N,N,N,-90.18893,44.18665,0,1,3,4,3,4,3.5,0,0,0,1,0,1,1,1,1,1,2,3,2,3,2,3,U,U,1,1136,1144,1119,1114
2006D,1672,1678,11-02/17-02,2006,4/11/2006,4/19/2006,4/20/2006,,11-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15197,44.06237,0,1,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2006C,1697,1670,2-03/9-02,2006,4/14/2006,4/25/2006,4/27/2006,,14-Apr,N,NA,NA,NA,1,N,N,N,N,-90.36876,44.07807,0,1,3,4,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,U,U,1,1135,1133,1135,1133
2007B,1672,1678,11-02/17-02,2007,4/3/2007,4/20/2007,4/21/2007,,3-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15447,44.06246,0,1,5,5,5,5,5,1,1,1,1,1,4,4,4,4,4,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2007A,1759,1670,16-04/9-02,2007,4/15/2007,4/19/2007,4/21/2007,,15-Apr,N,NA,NA,NA,1,N,N,N,N,-90.3575,44.0875,0,1,3,5,3,5,4,0,1,0,1,0.5,1,2,1,2,1.5,2,3,3,3,2,3,U,U,1,1136,1144,1135,1133
2007C,1674,1679,13-02/18-02,2007,4/16/2007,4/19/2007,4/20/2007,,16-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16659,44.06865,0,1,5,5,5,5,5,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2007D,1712,1698,17-03/3-03,2007,4/19/2007,4/20/2007,4/21/2007,,19-Apr,N,NA,NA,NA,1,N,N,N,N,-90.19893,44.17763,0,1,4,4,4,4,4,1,0,0,1,0.5,2,1,1,2,1.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2008B,1672,1678,11-02/17-02,2008,4/7/2008,5/5/2008,5/6/2008,,7-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15333,44.05915,0,1,6,6,6,6,6,1,1,1,1,1,5,5,5,5,5,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2008D,1674,1679,13-02/18-02,2008,4/9/2008,5/5/008,5/6/2008,,9-Apr,N,NA,NA,NA,1,N,N,N,N,-90.1605,44.06692,0,1,6,6,6,6,6,1,1,1,1,1,3,3,3,3,3,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2008F,1746,1704,3-04/9-03,2008,4/9/2008,5/3/2008,5/4/2008,,9-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16197,44.06122,0,1,4,5,4,5,4.5,0,0,0,1,0,1,1,1,1,1,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2008E,1712,1698,17-03/3-03,2008,4/10/2008,5/5/2008,5/6/2008,,10-Apr,N,NA,NA,NA,1,N,N,N,N,-90.20647,44.18203,0,1,5,5,5,5,5,1,1,1,1,1,4,3,3,4,3.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2008A,1759,1670,16-04/9-02,2008,4/11/2008,4/11/2008,4/14/2008,,11-Apr,N,NA,NA,NA,1,N,N,N,N,-90.36773,44.0788,0,1,4,6,4,6,5,1,1,1,1,1,2,3,2,3,2.5,2,3,3,3,2,3,U,U,1,1136,1144,1135,1133
2008H,1713,1708,18-03/13-03,2008,4/14/2008,5/6/2008,5/7/2008,,14-Apr,N,NA,NA,NA,1,N,N,N,N,-90.19363,44.08845,0,1,5,5,5,5,5,0,0,0,0,0,1,1,1,1,1,2,3,3,3,2,3,U,U,1,1142,1147,1135,1133
2008K,1786,1758,5-05/15-04,2008,4/14/2008,4/29/2008,4/30/2008,,14-Apr,N,NA,NA,NA,1,N,N,N,N,-90.21085,44.18543,0,1,3,4,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2008I,1744,1790,1-04/8-05,2008,4/16/2008,4/30/2008,5/5/2008,,16-Apr,N,NA,NA,NA,1,N,N,N,N,-90.17635,44.18053,0,1,4,3,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,2,2,2,3,U,U,1,1135,1133,1154,1127
2008G,1706,1707,11-03/12-03,2008,4/17/2008,5/3/2008,5/5/2008,,17-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16185,44.16317,0,1,5,5,5,5,5,0,0,0,0,0,1,1,1,1,1,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2008C,1673,1762,12-02/19-04,2008,4/23/2008,5/5/2008,5/6/2008,,23-Apr,N,NA,NA,NA,1,N,N,N,N,-90.08198,44.39248,0,1,6,4,4,6,5,0,0,0,1,0,1,1,1,1,1,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2008J,1751,1802,8-04/19-05,2008,4/23/2008,5/2/2008,5/5/2008,,23-Apr,N,NA,NA,NA,1,N,N,N,N,-90.22002,44.15252,0,1,4,3,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
2009A,1786,1758,5-05/15-04,2009,4/2/2009,4/24/2009,4/25/2009,,2-Apr,Y,1,23,24,1,N,N,N,N,-90.21938,44.20183,1,1,4,5,4,5,4.5,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2009B,1713,1708,18-03/13-03,2009,4/7/2009,4/18/2009,4/19/2009,,7-Apr,Y,6,17,18,1,N,N,N,N,-90.19414,44.08972,1,1,6,6,6,6,6,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,U,U,1,1142,1147,1135,1133
2009P,1672,1678,11-02/17-02,2009,4/7/2009,4/26/2009,4/27/2009,,7-Apr,Y,6,25,26,1,N,N,N,N,-90.13585,44.05697,0,1,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2009C,1712,1698,17-03/3-03,2009,4/8/2009,4/23/2009,4/24/2009,,8-Apr,Y,7,22,23,1,N,N,N,N,-90.21802,44.16575,1,1,6,6,6,6,6,1,1,1,1,1,5,4,4,5,4.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2009N,1746,1704,3-04/9-03,2009,4/8/2009,5/3/2009,5/4/2009,,8-Apr,Y,7,32,33,1,N,N,N,N,-90.1673,44.06301,1,1,5,6,5,6,5.5,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2009D,1744,1790,1-04/8-05,2009,4/9/2009,4/23/2009,4/24/2009,,9-Apr,Y,8,22,23,1,N,N,N,N,-90.16907,44.17396,0,1,5,4,4,5,4.5,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,3,U,U,1,1135,1133,1154,1127
