Year,Trap,Date,CO2 Trap,Bird,Egg
2012,1,3/25/2012,NA,NA,NA
2012,1,3/31/2012,2,0,0
2012,1,4/1/2012,213,236,25
2012,1,4/5/2012,4255,15,0
2012,1,4/6/2012,1466,76,3
2012,1,4/12/2012,2166,129,35
2012,1,4/13/2012,792,0,0
2012,1,4/18/2012,3537,22,0
2012,1,4/22/2012,265,44,8
2012,1,4/28/2012,NA,NA,NA
2012,1,5/1/2012,5,1,0
2012,1,5/10/2012,2,0,0
2012,1,5/11/2012,0,0,0
2012,1,5/17/2012,1,0,0
2012,1,5/18/2012,0,0,0
2012,1,5/26/2012,0,0,0
2012,1,5/31/2012,0,0,0
2012,1,6/1/2012,0,0,0
2012,1,6/6/2012,0,0,0
2012,1,6/7/2012,0,0,0
2012,1,6/14/2012,0,0,0
2012,1,6/15/2012,0,0,0
2012,1,6/22/2012,0,0,0
2012,2,3/25/2012,NA,NA,NA
2012,2,3/31/2012,0,0,0
2012,2,4/1/2012,290,252,37
2012,2,4/5/2012,1519,12,0
2012,2,4/6/2012,874,51,3
2012,2,4/12/2012,11,12,0
2012,2,4/13/2012,39,0,0
2012,2,4/18/2012,0,0,0
2012,2,4/22/2012,14,1,0
2012,2,4/28/2012,1,0,0
2012,2,5/1/2012,6,0,0
2012,2,5/10/2012,1,0,0
2012,2,5/11/2012,0,0,0
2012,2,5/17/2012,0,0,0
2012,2,5/18/2012,0,0,0
2012,2,5/26/2012,0,0,0
2012,2,5/31/2012,0,0,0
2012,2,6/1/2012,0,0,0
2012,2,6/6/2012,0,0,0
2012,2,6/7/2012,0,0,0
2012,2,6/14/2012,0,0,0
2012,2,6/15/2012,0,0,0
2012,2,6/22/2012,0,0,0
2012,3,3/25/2012,NA,NA,NA
2012,3,3/31/2012,0,0,0
2012,3,4/1/2012,67,111,0
2012,3,4/5/2012,2276,142,2
2012,3,4/6/2012,764,65,1
2012,3,4/12/2012,332,7,0
2012,3,4/13/2012,413,3,0
2012,3,4/18/2012,110,3,0
2012,3,4/22/2012,123,0,0
2012,3,4/28/2012,0,0,0
2012,3,5/1/2012,7,3,1
2012,3,5/10/2012,2,1,0
2012,3,5/11/2012,NA,NA,NA
2012,3,5/17/2012,1,0,0
2012,3,5/18/2012,0,0,0
2012,3,5/26/2012,0,0,0
2012,3,5/31/2012,0,0,0
2012,3,6/1/2012,0,0,0
2012,3,6/6/2012,0,0,0
2012,3,6/7/2012,0,0,0
2012,3,6/14/2012,0,0,0
2012,3,6/15/2012,0,0,0
2012,3,6/22/2012,0,0,0
2012,4,3/25/2012,NA,NA,NA
2012,4,3/31/2012,0,0,0
2012,4,4/1/2012,206,40,13
2012,4,4/5/2012,182,0,0
2012,4,4/6/2012,30,4,1
2012,4,4/12/2012,487,3,2
2012,4,4/13/2012,96,1,0
2012,4,4/18/2012,3518,1,0
2012,4,4/22/2012,299,13,28
2012,4,4/28/2012,NA,NA,NA
2012,4,5/1/2012,153,0,0
2012,4,5/10/2012,0,0,0
2012,4,5/11/2012,1,0,0
2012,4,5/17/2012,0,0,0
2012,4,5/18/2012,0,0,0
2012,4,5/26/2012,0,0,0
2012,4,5/31/2012,0,0,0
2012,4,6/1/2012,0,0,0
2012,4,6/6/2012,0,0,0
2012,4,6/7/2012,0,0,0
2012,4,6/14/2012,0,0,0
2012,4,6/15/2012,0,0,0
2012,4,6/22/2012,0,0,0
2013,1,4/17/2013,0,0,0
2013,1,4/21/2013,0,0,0
2013,1,4/25/2013,0,0,0
2013,1,4/28/2013,0,0,0
2013,1,5/2/2013,105,0,0
2013,1,5/7/2013,15275,49,3
2013,1,5/8/2013,19566,41,1
2013,1,5/14/2013,15268,235,6
2013,1,5/17/2013,NA,NA,NA
2013,1,5/22/2013,NA,NA,NA
2013,1,5/25/2013,993,2,0
2013,1,5/26/2013,142,1,0
2013,1,6/1/2013,542,0,0
2013,1,6/2/2013,704,1,0
2013,1,6/7/2013,209,0,0
2013,1,6/8/2013,108,0,0
2013,1,6/9/2013,NA,NA,NA
2013,1,6/12/2013,NA,NA,NA
2013,1,6/14/2013,0,0,0
2013,1,6/19/2013,0,0,0
2013,1,6/20/2013,0,0,0
2013,1,6/28/2013,0,0,0
2013,1,6/29/2013,0,0,0
2013,1,7/5/2013,0,0,0
2013,2,4/17/2013,0,0,0
2013,2,4/21/2013,NA,NA,NA
2013,2,4/25/2013,0,0,0
2013,2,4/28/2013,NA,NA,NA
2013,2,5/2/2013,0,0,0
2013,2,5/7/2013,5138,330,564
2013,2,5/8/2013,12924,113,297
2013,2,5/14/2013,3632,100,89
2013,2,5/17/2013,3840,9,0
2013,2,5/22/2013,919,30,1
2013,2,5/25/2013,671,1,0
2013,2,5/26/2013,108,0,0
2013,2,6/1/2013,136,0,0
2013,2,6/2/2013,68,0,0
2013,2,6/7/2013,1,0,0
2013,2,6/8/2013,NA,NA,NA
2013,2,6/9/2013,NA,NA,NA
2013,2,6/12/2013,0,0,0
2013,2,6/14/2013,0,0,0
2013,2,6/19/2013,0,0,0
2013,2,6/20/2013,0,0,0
2013,2,6/28/2013,NA,NA,NA
2013,2,6/29/2013,0,0,0
2013,2,7/5/2013,0,0,0
2013,3,4/17/2013,NA,NA,NA
2013,3,4/21/2013,0,0,0
2013,3,4/25/2013,0,0,0
2013,3,4/28/2013,0,0,0
2013,3,5/2/2013,NA,NA,NA
2013,3,5/7/2013,6368,31,303
2013,3,5/8/2013,39196,355,139
2013,3,5/14/2013,19187,78,194
2013,3,5/17/2013,16128,3,0
2013,3,5/22/2013,691,39,1
2013,3,5/25/2013,504,14,0
2013,3,5/26/2013,2832,23,1
2013,3,6/1/2013,30,8,0
2013,3,6/2/2013,1589,0,0
2013,3,6/7/2013,9,0,0
2013,3,6/8/2013,0,0,0
2013,3,6/9/2013,NA,NA,NA
2013,3,6/12/2013,0,0,0
2013,3,6/14/2013,0,0,0
2013,3,6/19/2013,NA,NA,NA
2013,3,6/20/2013,0,0,0
2013,3,6/28/2013,0,0,0
2013,3,6/29/2013,0,0,0
2013,3,7/5/2013,0,0,0
2013,4,4/17/2013,0,0,0
2013,4,4/21/2013,0,0,0
2013,4,4/25/2013,0,0,0
2013,4,4/28/2013,0,0,0
2013,4,5/2/2013,34,0,0
2013,4,5/7/2013,21566,52,8
2013,4,5/8/2013,27023,236,6
2013,4,5/14/2013,37653,305,39
2013,4,5/17/2013,6643,6,1
2013,4,5/22/2013,NA,NA,NA
2013,4,5/25/2013,1362,5,0
2013,4,5/26/2013,107,0,0
2013,4,6/1/2013,NA,NA,NA
2013,4,6/2/2013,20,0,0
2013,4,6/7/2013,64,0,0
2013,4,6/8/2013,34,0,0
2013,4,6/9/2013,NA,NA,NA
2013,4,6/12/2013,0,0,0
2013,4,6/14/2013,0,0,0
2013,4,6/19/2013,0,0,0
2013,4,6/20/2013,0,0,0
2013,4,6/28/2013,0,0,0
2013,4,6/29/2013,0,0,0
2013,4,7/5/2013,0,0,0
