Year,Trap,Date,CO2 Trap,Bird,Egg
2012,1,3/25/2012,NA,NA,NA
2012,1,3/31/2012,0,0,NA
2012,1,4/1/2012,0,0,NA
2012,1,4/5/2012,0,0,NA
2012,1,4/6/2012,0,0,NA
2012,1,4/12/2012,0,0,NA
2012,1,4/13/2012,48,0,NA
2012,1,4/18/2012,18,1,NA
2012,1,4/22/2012,5,0,NA
2012,1,4/28/2012,NA,NA,NA
2012,1,5/1/2012,0,0,NA
2012,1,5/10/2012,9,0,NA
2012,1,5/11/2012,11,0,NA
2012,1,5/17/2012,0,0,NA
2012,1,5/18/2012,0,0,NA
2012,1,5/26/2012,0,0,NA
2012,1,5/31/2012,0,0,NA
2012,1,6/1/2012,0,0,NA
2012,1,6/6/2012,0,0,NA
2012,1,6/7/2012,0,0,NA
2012,1,6/14/2012,0,0,NA
2012,1,6/15/2012,0,0,NA
2012,1,6/22/2012,0,0,NA
2012,2,3/25/2012,NA,NA,NA
2012,2,3/31/2012,0,0,NA
2012,2,4/1/2012,0,0,NA
2012,2,4/5/2012,0,0,NA
2012,2,4/6/2012,0,0,NA
2012,2,4/12/2012,0,2,NA
2012,2,4/13/2012,6,0,NA
2012,2,4/18/2012,1,0,NA
2012,2,4/22/2012,1,0,NA
2012,2,4/28/2012,0,0,NA
2012,2,5/1/2012,1,0,NA
2012,2,5/10/2012,0,0,NA
2012,2,5/11/2012,0,0,NA
2012,2,5/17/2012,0,0,NA
2012,2,5/18/2012,0,0,NA
2012,2,5/26/2012,0,0,NA
2012,2,5/31/2012,0,0,NA
2012,2,6/1/2012,0,0,NA
2012,2,6/6/2012,0,0,NA
2012,2,6/7/2012,0,0,NA
2012,2,6/14/2012,0,0,NA
2012,2,6/15/2012,0,0,NA
2012,2,6/22/2012,0,0,NA
2012,3,3/25/2012,NA,NA,NA
2012,3,3/31/2012,0,0,NA
2012,3,4/1/2012,0,0,NA
2012,3,4/5/2012,0,0,NA
2012,3,4/6/2012,0,0,NA
2012,3,4/12/2012,0,0,NA
2012,3,4/13/2012,16,0,NA
2012,3,4/18/2012,3,0,NA
