Year,Trap,Date,CO2 Trap,Bird,Egg
2012,1,3/25/2012,0,NA,NA
2012,1,3/31/2012,0,NA,NA
2012,1,4/1/2012,0,NA,NA
2012,1,4/5/2012,0,NA,NA
2012,1,4/6/2012,0,NA,NA
2012,1,4/12/2012,0,NA,NA
2012,1,4/13/2012,0,NA,NA
2012,1,4/18/2012,0,NA,NA
2012,1,4/22/2012,0,NA,NA
2012,1,4/28/2012,0,NA,NA
2012,1,5/1/2012,0,NA,NA
2012,1,5/10/2012,0,NA,NA
2012,1,5/11/2012,3,NA,NA
2012,1,5/17/2012,1,NA,NA
2012,1,5/18/2012,6,NA,NA
2012,1,5/26/2012,21,NA,NA
2012,1,5/31/2012,1,NA,NA
2012,1,6/1/2012,14,NA,NA
2012,1,6/6/2012,3,NA,NA
2012,1,6/7/2012,160,NA,NA
2012,1,6/14/2012,147,NA,NA
2012,1,6/15/2012,366,NA,NA
2012,1,6/22/2012,4335,NA,NA
2012,2,3/25/2012,0,NA,NA
2012,2,3/31/2012,0,NA,NA
2012,2,4/1/2012,0,NA,NA
2012,2,4/5/2012,0,NA,NA
2012,2,4/6/2012,0,NA,NA
2012,2,4/12/2012,0,NA,NA
2012,2,4/13/2012,0,NA,NA
2012,2,4/18/2012,0,NA,NA
2012,2,4/22/2012,0,NA,NA
2012,2,4/28/2012,0,NA,NA
2012,2,5/1/2012,0,NA,NA
2012,2,5/10/2012,0,NA,NA
2012,2,5/11/2012,0,NA,NA
2012,2,5/17/2012,2,NA,NA
2012,2,5/18/2012,6,NA,NA
2012,2,5/26/2012,0,NA,NA
2012,2,5/31/2012,44,NA,NA
2012,2,6/1/2012,66,NA,NA
2012,2,6/6/2012,14,NA,NA
2012,2,6/7/2012,20,NA,NA
2012,2,6/14/2012,250,NA,NA
2012,2,6/15/2012,273,NA,NA
2012,2,6/22/2012,4208,NA,NA
2012,3,3/25/2012,0,NA,NA
2012,3,3/31/2012,0,NA,NA
2012,3,4/1/2012,0,NA,NA
2012,3,4/5/2012,0,NA,NA
2012,3,4/6/2012,0,NA,NA
2012,3,4/12/2012,0,NA,NA
2012,3,4/13/2012,0,NA,NA
2012,3,4/18/2012,0,NA,NA
2012,3,4/22/2012,0,NA,NA
2012,3,4/28/2012,0,NA,NA
2012,3,5/1/2012,0,NA,NA
2012,3,5/10/2012,8,NA,NA
2012,3,5/11/2012,NA,NA,NA
2012,3,5/17/2012,0,NA,NA
2012,3,5/18/2012,3,NA,NA
2012,3,5/26/2012,52,NA,NA
2012,3,5/31/2012,13,NA,NA
2012,3,6/1/2012,18,NA,NA
2012,3,6/6/2012,18,NA,NA
2012,3,6/7/2012,1,NA,NA
2012,3,6/14/2012,161,NA,NA
2012,3,6/15/2012,77,NA,NA
2012,3,6/22/2012,3036,NA,NA
2012,4,3/25/2012,0,NA,NA
2012,4,3/31/2012,0,NA,NA
2012,4,4/1/2012,0,NA,NA
2012,4,4/5/2012,0,NA,NA
2012,4,4/6/2012,0,NA,NA
2012,4,4/12/2012,0,NA,NA
2012,4,4/13/2012,0,NA,NA
2012,4,4/18/2012,0,NA,NA
2012,4,4/22/2012,0,NA,NA
2012,4,4/28/2012,0,NA,NA
2012,4,5/1/2012,0,NA,NA
2012,4,5/10/2012,0,NA,NA
2012,4,5/11/2012,0,NA,NA
2012,4,5/17/2012,1,NA,NA
2012,4,5/18/2012,1,NA,NA
2012,4,5/26/2012,50,NA,NA
2012,4,5/31/2012,13,NA,NA
2012,4,6/1/2012,19,NA,NA
2012,4,6/6/2012,4,NA,NA
2012,4,6/7/2012,12,NA,NA
2012,4,6/14/2012,148,NA,NA
2012,4,6/15/2012,212,NA,NA
2012,4,6/22/2012,2525,NA,NA
2013,1,4/17/2013,0,0,NA
2013,1,4/21/2013,0,0,NA
2013,1,4/25/2013,0,0,NA
2013,1,4/28/2013,0,0,NA
2013,1,5/2/2013,0,0,NA
2013,1,5/7/2013,0,0,NA
2013,1,5/8/2013,0,0,NA
2013,1,5/14/2013,0,0,NA
2013,1,5/17/2013,NA,0,NA
2013,1,5/22/2013,NA,0,NA
2013,1,5/25/2013,0,0,NA
2013,1,5/26/2013,0,0,NA
2013,1,6/1/2013,0,0,NA
2013,1,6/2/2013,0,0,NA
2013,1,6/7/2013,0,0,NA
2013,1,6/8/2013,324,0,NA
2013,1,6/9/2013,NA,0,NA
2013,1,6/12/2013,2886,0,NA
2013,1,6/14/2013,384,0,NA
2013,1,6/19/2013,452,0,NA
2013,1,6/20/2013,105,0,NA
2013,1,6/28/2013,6916,0,NA
2013,1,6/29/2013,1727,0,NA
2013,1,7/5/2013,10752,0,NA
2013,2,4/17/2013,0,0,NA
2013,2,4/21/2013,0,NA,NA
2013,2,4/25/2013,0,0,NA
2013,2,4/28/2013,0,0,NA
2013,2,5/2/2013,0,0,NA
2013,2,5/7/2013,0,0,NA
2013,2,5/8/2013,0,0,NA
2013,2,5/14/2013,0,0,NA
2013,2,5/17/2013,0,0,NA
2013,2,5/22/2013,0,0,NA
2013,2,5/25/2013,0,0,NA
2013,2,5/26/2013,0,0,NA
2013,2,6/1/2013,0,0,NA
2013,2,6/2/2013,3,0,NA
2013,2,6/7/2013,0,0,NA
2013,2,6/8/2013,NA,0,NA
2013,2,6/9/2013,NA,0,NA
2013,2,6/12/2013,2088,0,NA
2013,2,6/14/2013,416,0,NA
2013,2,6/19/2013,322,0,NA
2013,2,6/20/2013,264,1,NA
2013,2,6/28/2013,5343,0,NA
2013,2,6/29/2013,2136,0,NA
2013,2,7/5/2013,5497,0,NA
2013,3,4/17/2013,0,0,NA
2013,3,4/21/2013,0,0,NA
2013,3,4/25/2013,0,0,NA
2013,3,4/28/2013,0,0,NA
2013,3,5/2/2013,NA,0,NA
2013,3,5/7/2013,0,0,NA
2013,3,5/8/2013,0,0,NA
2013,3,5/14/2013,0,0,NA
2013,3,5/17/2013,0,0,NA
2013,3,5/22/2013,0,0,NA
2013,3,5/25/2013,0,0,NA
2013,3,5/26/2013,0,0,NA
2013,3,6/1/2013,8,0,NA
2013,3,6/2/2013,0,0,NA
2013,3,6/7/2013,35,0,NA
2013,3,6/8/2013,151,0,NA
2013,3,6/9/2013,NA,0,NA
2013,3,6/12/2013,1270,0,NA
2013,3,6/14/2013,230,0,NA
2013,3,6/19/2013,NA,0,NA
2013,3,6/20/2013,473,0,NA
2013,3,6/28/2013,6990,0,NA
2013,3,6/29/2013,1711,0,NA
2013,3,7/5/2013,2730,0,NA
2013,4,4/17/2013,0,0,NA
2013,4,4/21/2013,0,0,NA
2013,4,4/25/2013,0,0,NA
2013,4,4/28/2013,0,0,NA
2013,4,5/2/2013,0,0,NA
2013,4,5/7/2013,0,0,NA
2013,4,5/8/2013,0,0,NA
2013,4,5/14/2013,0,0,NA
2013,4,5/17/2013,0,0,NA
2013,4,5/22/2013,0,NA,NA
2013,4,5/25/2013,0,0,NA
2013,4,5/26/2013,0,0,NA
2013,4,6/1/2013,28,0,NA
2013,4,6/2/2013,12,0,NA
2013,4,6/7/2013,61,0,NA
2013,4,6/8/2013,309,0,NA
2013,4,6/9/2013,NA,0,NA
2013,4,6/12/2013,2504,0,NA
2013,4,6/14/2013,118,0,NA
2013,4,6/19/2013,124,0,NA
2013,4,6/20/2013,264,0,NA
2013,4,6/28/2013,3278,0,NA
2013,4,6/29/2013,1584,0,NA
2013,4,7/5/2013,7422,0,NA
